age,gender,skin_tone,skin_type,skin_problem,sensitivity,climate,product_type,brand,ingredients_type,price_range,recommended_product
38,Female,Medium,Combination,None,Yes,Dry,Face Wash,Minimalist,Natural,Premium,Acne Control Face Wash
29,Male,Fair,Oily,Wrinkles,Yes,Moderate,Moisturizer,Minimalist,Natural,Mid,Niacinamide Serum
20,Female,Medium,Combination,Dryness,Yes,Dry,Moisturizer,Cetaphil,Natural,Budget,Salicylic Acid Cleanser
24,Male,Fair,Normal,Wrinkles,No,Humid,Face Cream,Nivea,Chemical,Budget,Niacinamide Serum
30,Female,Medium,Dry,Dullness,No,Dry,Moisturizer,Minimalist,Chemical,Budget,Hydrating Face Cream
29,Female,Medium,Normal,Acne,Yes,Moderate,Face Wash,Neutrogena,Natural,Premium,Vitamin C Serum
27,Female,Medium,Normal,Dryness,Yes,Cold,Face Cream,Minimalist,Natural,Mid,Hydrating Face Cream
44,Female,Fair,Dry,Acne,No,Dry,Moisturizer,The Ordinary,Chemical,Premium,Acne Control Face Wash
34,Male,Dark,Combination,Acne,No,Humid,Moisturizer,Nivea,Natural,Budget,Acne Control Face Wash
41,Male,Dark,Dry,Pigmentation,No,Humid,Face Cream,Plum,Natural,Budget,Salicylic Acid Cleanser
18,Male,Medium,Combination,Dryness,Yes,Cold,Serum,Plum,Chemical,Budget,Vitamin C Serum
35,Male,Medium,Oily,Pigmentation,Yes,Cold,Face Wash,Cetaphil,Natural,Premium,Oil Free Moisturizer
26,Female,Fair,Dry,Acne,Yes,Dry,Serum,Lakme,Chemical,Premium,Salicylic Acid Cleanser
24,Male,Medium,Normal,Wrinkles,Yes,Cold,Serum,Plum,Natural,Mid,Vitamin C Serum
35,Male,Fair,Combination,Pigmentation,No,Hot,Moisturizer,Nivea,Chemical,Premium,Anti Aging Cream
41,Female,Fair,Normal,None,Yes,Cold,Serum,The Ordinary,Chemical,Budget,Anti Aging Cream
28,Female,Medium,Combination,Acne,No,Moderate,Moisturizer,The Ordinary,Chemical,Premium,Salicylic Acid Cleanser
31,Male,Fair,Dry,Dryness,No,Hot,Moisturizer,Minimalist,Chemical,Budget,Salicylic Acid Cleanser
34,Male,Dark,Normal,Acne,Yes,Humid,Face Wash,Cetaphil,Chemical,Budget,Vitamin C Serum
26,Male,Fair,Dry,Dryness,Yes,Cold,Face Cream,Cetaphil,Chemical,Premium,Vitamin C Serum
25,Male,Fair,Combination,Wrinkles,Yes,Cold,Serum,Cetaphil,Chemical,Premium,Hydrating Face Cream
44,Male,Dark,Oily,Acne,No,Dry,Serum,Lakme,Natural,Premium,Vitamin C Serum
37,Male,Dark,Combination,Dullness,No,Dry,Moisturizer,Lakme,Natural,Mid,Salicylic Acid Cleanser
30,Female,Medium,Dry,Dullness,Yes,Dry,Moisturizer,The Ordinary,Chemical,Budget,Niacinamide Serum
